Category	Filing	Why is it filed?	When is it filed?	How to tell the difference	Immediate Price Impact	Explanation	Example
Dilution/Prospectus Filings	S-1/F-1	IPO	Months prior to pricing of IPO	First page will say initial public offering	None	Prospectus required for the registration of shares initially issued and sold in an IPO	https://www.sec.gov/Archives/edgar/data/1874875/000149315221026557/forms-1.htm
		Follow-on/Secondary Offering	Usually less than one month before pricing date	Filing will specify a maximum $ amount being offered and placeholders for # of shares and price	Medium	Companies may use S-1 instead of a shelf (S-3) to register a follow-on/secondary public offering, which would normally result in a price decline depending on the pricing and offering terms. If no PR prior to filing, then the market will interpret this as new information and price will decline. Market will fully price in the offering once PR of pricing is announced.	https://www.sec.gov/Archives/edgar/data/1649009/000121390021065218/ea152193-f1_siyatamobileinc.htm
		Resale - to register previously restricted shares, shares underlying warrants/convertible securities, equity line agreements	Anytime, or contractually within time period specified in the registration rights for any private placement	Filing will specify exactly which shares, who's selling, and how many shares are being registered	None-Low	Restricted securities need registration before it can be sold to public without rule 144 restrictions. Minimal impact on initial filing because requires EFFECT before shares are officially registered and can be sold. Once effective, may have material impact if unlocked shares greatly exceed current trading float or after a short squeeze.	https://www.sec.gov/ix?doc=/Archives/edgar/data/1815903/000110465922001924/tmb-20220106xs1.htm
	S-1/F-1/A	Amend prior filing	After initial filing	Check which filing it's linked to by clicking the file number	None	Original filing may need amendments for additional disclosures, or finalizing exhibits such as underwriting agreements, documents detailing warrants/convertible terms, consent of accountant & counsel before receiving EFFECT	https://www.sec.gov/Archives/edgar/data/1649009/000121390021067753/ea153074-f1a2_siyatamobile.htm
	EFFECT	Filed when SEC has officially finished review of filing	Usually within one month of S-1/F-1, S-3/F-3, F-10, but longer when co is smaller, has complex financials, or foreign. All EFFECTs are bulk publicly disclosed at 6:00AM daily, even if received earlier. Small cap S-1/F-1 offerings almost always priced on day of EFFECT.	Check which filing it's linked to by clicking the file number	Low-Medium	EFFECT is required before an S-1/F-1 related offering can be priced, a shelf can be used, or resale shares be fully registered and sold. Will have biggest market impact when market is unsure of exact date of pricing for small cap discounted S-1 offering, since public disclosure of EFFECT for S-1/F-1 offering means pricing is imminent.	https://www.sec.gov/Archives/edgar/data/1649009/999999999522000075/xslEFFECTX01/primary_doc.xml
	S-1/F-1MEF	Up-size prior offering	After EFFECT and shortly before pricing	Check which filing it's linked to by clicking the file number	Low-Medium	Co can decide to upsize up to 20% more than max $ amount previously specified even after receiving EFFECT. Some instant impact potential if market is anticipating a discounted offering but unsure of timing; the filing signals co has received EFFECT and pricing announcement is imminent.	https://www.sec.gov/Archives/edgar/data/1828253/000110465921134595/tm2119736d15_f1mef.htm
	424B4	Final prospectus disclosing offering details	After pricing of IPO or S-1/F-1 related offering	Check which filing it's linked to by clicking the file number	None	Final prospectus supplement for the S-1/F-1 containing the pricing details and shares issued. No impact because pricing PR would have been released before this.	https://www.sec.gov/Archives/edgar/data/1828253/000110465921135073/tm2119736-12_424b4.htm
	S-3/F-3/F-10	Shelf	Anytime the company plans to raise funds over a period of three years	Will state a max $ amount being registered and the types of securities issuable.	None-Low	An effective shelf allows the co to offer at anytime within the next three years up to the shelf $ amount, unless subject to $ limits imposed by the baby shelf rule. No immediate impact because initial filing can't be used until receiving EFFECT. Sometimes attached with ATM.	https://www.sec.gov/Archives/edgar/data/924168/000092416821000063/a2021q4forms-3.htm
		Resale - to register previously restricted shares, shares underlying warrants/convertible securities, equity line agreements	Anytime, or contractually within time period specified in the registration rights for any private placement	Filing will specify exactly which shares, whos selling, and how many shares are being registered	None-Low	Restricted securities need registration before can be sold to public without rule 144 restrictions. Minimal impact on initial filing because requires EFFECT before shares are officially registered and can be sold. Once effective, may have material impact if unlocked shares greatly exceed current trading float or after a short squeeze.	https://www.sec.gov/Archives/edgar/data/1383701/000119312521364986/d274997ds3.htm
	S-3/F-3MEF	Upsize prior shelf	Anytime after EFFECT on shelf	Check which filing it's linked to by clicking the file number	Low-Medium	Co can decide to upsize up to 20% more than max $ amount previously specified on the shelf even after receiving EFFECT. May have price impact because it signals that the company intends to use the shelf imminently, since the co wouldn't upsize the shelf unless it plans to use it soon.	https://www.sec.gov/Archives/edgar/data/1591956/000121390021046492/ea146922-f3mef_sphere3d.htm
